id,CustomerName,CustomerAddress,idState,id2,RegTime,RegisterTime,Sum1,Sum2,Sum3,Sum4,Sum5,Sum6,Sum7
1,Customer_1,Address_1,13,9955,"2023-11-29 10:52:39","2023-11-29 10:52:39",176.301,184.645,394.318,417.658,905.335,273.702,652.505
2,Customer_2,Address_2,23,3246,"2022-07-12 10:52:39","2022-07-12 10:52:39",869.547,576.756,275.137,645.418,401.678,72.1368,155.65
3,Customer_3,Address_3,29,4080,"2024-04-28 10:52:39","2024-04-28 10:52:39",101.915,432.375,856.128,983.516,349.198,795.442,929.615
4,Customer_4,Address_4,14,5679,"2022-09-30 10:52:39","2022-09-30 10:52:39",511.513,114.841,39.665,853.803,150.021,188.697,493.421
5,Customer_5,Address_5,46,1223,"2023-07-14 10:52:39","2023-07-14 10:52:39",30.58,889.896,357.74,119.014,521.848,252.198,695.445
6,Customer_6,Address_6,37,5651,"2023-07-13 10:52:39","2023-07-13 10:52:39",560.517,536.004,998.468,384.33,926.244,478.232,612.426
7,Customer_7,Address_7,32,3699,"2023-02-21 10:52:39","2023-02-21 10:52:39",186.357,80.1404,841.632,967.74,313.802,665.791,387.549
8,Customer_8,Address_8,48,5852,"2022-08-17 10:52:39","2022-08-17 10:52:39",757.002,160.234,530.164,170.121,260.111,790.19,170.62
9,Customer_9,Address_9,25,9107,"2024-04-05 10:52:39","2024-04-05 10:52:39",579.491,728.333,903.191,330.958,945.218,733.214,830.418
10,Customer_10,Address_10,48,3438,"2023-05-19 10:52:39","2023-05-19 10:52:39",674.788,881.31,382.186,267.001,188.448,141.234,140.827
11,Customer_11,Address_11,15,9817,"2024-04-05 10:52:39","2024-04-05 10:52:39",346.712,562.085,770.289,165.193,515.094,79.8946,854.19
12,Customer_12,Address_12,2,6343,"2022-08-17 10:52:39","2022-08-17 10:52:39",593.62,343.172,934.999,645.481,422.406,175.59,610.728
13,Customer_13,Address_13,27,8219,"2023-07-07 10:52:39","2023-07-07 10:52:39",744.824,433.306,932.058,360.372,5.68695,947.318,719.53
14,Customer_14,Address_14,38,6578,"2022-09-17 10:52:39","2022-09-17 10:52:39",301.985,12.9478,158.784,755.075,299.022,229.887,252.368
15,Customer_15,Address_15,29,1934,"2022-10-09 10:52:39","2022-10-09 10:52:39",700.659,96.0802,378.425,603.884,884.147,609.08,392.961
16,Customer_16,Address_16,7,5580,"2024-02-10 10:52:39","2024-02-10 10:52:39",133.308,270.454,952.346,950.367,894.796,622.881,430.018
17,Customer_17,Address_17,15,2054,"2022-11-22 10:52:39","2022-11-22 10:52:39",356.058,555.749,710.573,885.619,296.375,825.018,235.965
18,Customer_18,Address_18,36,8343,"2022-06-12 10:52:39","2022-06-12 10:52:39",379.582,1.43067,868.407,337.744,83.4964,404.251,770.768
19,Customer_19,Address_19,33,9038,"2023-04-17 10:52:39","2023-04-17 10:52:39",32.2949,534.489,575.56,274.333,644.987,401.934,74.7083
20,Customer_20,Address_20,9,6531,"2023-03-28 10:52:39","2023-03-28 10:52:39",4.60573,314.025,556.308,839.464,528.398,123.596,32.7868
21,Customer_21,Address_21,40,8806,"2022-06-18 10:52:39","2022-06-18 10:52:39",184.929,52.4222,707.325,379.359,774.818,736.016,355.623
22,Customer_22,Address_22,29,8051,"2023-12-17 10:52:39","2023-12-17 10:52:39",685.446,805.704,972.181,443.793,302.423,180.738,996.418
23,Customer_23,Address_23,22,2891,"2022-11-30 10:52:39","2022-11-30 10:52:39",24.6551,930.254,577.303,95.7557,746.869,447.076,994.773
24,Customer_24,Address_24,32,2609,"2022-05-20 10:52:39","2022-05-20 10:52:39",445.62,238.758,856.929,568.373,271.076,650.261,438.078
25,Customer_25,Address_25,12,8954,"2022-12-22 10:52:39","2022-12-22 10:52:39",849.512,147.012,186.525,491.586,898.357,17.0273,390.065
26,Customer_26,Address_26,45,3934,"2022-07-06 10:52:39","2022-07-06 10:52:39",683.797,621.871,57.9627,424.201,947.119,462.99,473.593
27,Customer_27,Address_27,49,5267,"2023-07-05 10:52:39","2023-07-05 10:52:39",747.385,434.941,932.549,357.925,991.975,886.1,454.577
28,Customer_28,Address_28,31,7382,"2022-12-21 10:52:39","2022-12-21 10:52:39",383.376,810.317,901.457,76.3336,677.297,157.485,755.534
29,Customer_29,Address_29,16,3335,"2023-08-12 10:52:39","2023-08-12 10:52:39",130.239,505.995,139.259,178.311,473.775,833.942,748.385
30,Customer_30,Address_30,13,9598,"2024-04-05 10:52:39","2024-04-05 10:52:39",416.166,911.504,309.02,810.587,125.877,197.623,610.482
