Name,Number,Street,City,State,StateName
Bill Coolidge,85013,Via Real,Austin,IL, Illinois
Ulysses Coolidge,98646,Bayshore Freeway,Columbus,MN, Minnesota
William Van Buren,21712,Tully Road East,Albany,IL, Illinois
Ulysses Monroe,70511,Jones Road,Trenton,IL, Illinois
Ulysses Johnson,19989,Via Real,Juneau,AL, Alabama
George Arthur,89874,Calle Real,Annapolis,AL, Alabama
George Jefferson,67703,Fontaine Road,Pierre,IL, Illinois
Calvin Washington,37446,E Fowler Avenue,Pierre,AL, Alabama
Warren Arthur,22920,Jean de la Fontaine,Madison,MN, Minnesota
Lyndon Eisenhower,14379,Newbury Road,Lincoln,AL, Alabama
Woodrow Adams,62404,Jones Road,Springfield,IL, Illinois
Thomas Polk,14024,San Simeon,Lansing,MN, Minnesota
Theodore Reagan,30441,Lake Tahoe Blvd.,Raleigh,AL, Alabama
William Wilson,96762,San Luis Obispo North,Harrisburg,AL, Alabama
Richard Coolidge,66918,S Rustle St,Madison,IL, Illinois
Dwight Pierce,53765,Burnett Road,Cheyenne,AL, Alabama
Calvin Madison,77564,Harry S Truman Blvd,Boise,AL, Alabama
Ulysses Reagan,42195,Cerrillos Road,Dover,AL, Alabama
Warren Taft,34746,Newbury Road,Richmond,IL, Illinois
Lyndon Jackson,72876,East Fry Blvd.,Jackson,IL, Illinois
Rutherford Harrison,27209,Bailard Avenue,Tallahassee,AL, Alabama
Jimmy Garfield,60346,Harbor Dr,Helena,AL, Alabama
Herbert Arthur,38585,East Calle Primera,Springfield,AL, Alabama
Millard Reagan,47551,South Roosevelt Drive,Sacramento,AL, Alabama
Benjamin Adams,48190,Grandview Drive,Montpelier,AL, Alabama
Ronald Fillmore,78647,N Kentwood,Trenton,AL, Alabama
Herbert Pierce,32958,East Main Street,Oklahoma City,AL, Alabama
Woodrow Harrison,49904,Monroe Street,Montgomery,IL, Illinois
Benjamin Adams,32628,Santa Rosa North,Boise,AL, Alabama
Grover Van Buren,76745,San Ysidro Blvd,Columbia,MN, Minnesota
Abraham Hoover,34027,Grandview Drive,Augusta,IL, Illinois
Dwight Arthur,65616,Hutchinson Rd,Nashville,MN, Minnesota
James Fillmore,77607,Bowles Avenue,Springfield,MN, Minnesota
Rutherford Arthur,49798,N Kentwood,Carson City,MN, Minnesota
Benjamin Roosevelt,46838,Tully Road East,Lansing,MN, Minnesota
Warren Tyler,56024,E Fowler Avenue,Jackson,AL, Alabama
Martin Lincoln,48090,Erringer Road,Pierre,IL, Illinois
Warren Grant,39236,Carpinteria North,Jefferson City,MN, Minnesota
James Harding,67244,N Harrison St,Phoenix,IL, Illinois
Andrew Johnson,16064,Harbor Dr,Sacramento,IL, Illinois
Chester Taft,89505,North Preisker Lane,Cheyenne,AL, Alabama
Lyndon Cleveland,85642,North Atherton Street,Hartford,MN, Minnesota
Thomas Wilson,36910,Tanger Blvd,Salem,MN, Minnesota
Benjamin Taylor,81222,North Erringer Road,Concord,MN, Minnesota
